nombre,cargo,fecha_inicio,fecha_fin
Carlos Cuerpo Caballero,"Ministro de Economía, Comercio y Empresa",29 de diciembre de 2023,6 de septiembre de 2024
Mónica García,Ministra de Sanidad,29 de diciembre de 2023,6 de septiembre de 2024
Pablo Bustinduy,"Ministro de Derechos Sociales, Consumo y Agenda 2030",29 de diciembre de 2023,6 de septiembre de 2024
Diana Morant,"Ministra de Ciencia, Innovación y Universidades",29 de diciembre de 2023,6 de septiembre de 2024
Ana Redondo,Ministra de Igualdad,29 de diciembre de 2023,6 de septiembre de 2024
Elma Saiz,"Ministra de Inclusión, Seguridad Social y Migraciones",29 de diciembre de 2023,6 de septiembre de 2024
Óscar López,Ministro para la Transformación Digital y de la Función Pública,29 de diciembre de 2023,6 de septiembre de 2024
Gabinete desde el 25 de noviembre de 2024 hasta la actualidad,"La vicepresidenta tercera y ministra para la Transición Ecológica y el Reto Demográfico, Sara Aaegen, promete su cargo ante S.M. el Rey.",29 de diciembre de 2023,6 de septiembre de 2024
| Casa de S.M. el Rey,"El 25 de noviembre de 2024, el presidente del Gobierno anuncia la",29 de diciembre de 2023,6 de septiembre de 2024
cesa en su cargo y es sustituida por Sara Aagesen,"Como consecuencia del nuevo destino de la vicepresidenta tercera y ministra para la Transición Ecológica y el Reto Demográfico, Teresa Ribera, como vicepresidenta ejecutiva para la Transición Limpia, Justa y Competitiva de la Comisión Europea",29 de diciembre de 2023,6 de septiembre de 2024
El Boletín Oficial del Estado (BOE) publica el,Real Decreto,29 de diciembre de 2023,6 de septiembre de 2024
con el nombramiento como vicepresidenta y el,Real Decreto,29 de diciembre de 2023,6 de septiembre de 2024
con el nombramiento como ministra el 25 de noviembre. La vicepresidenta tercera y ministra,promete su cargo ante el rey,29 de diciembre de 2023,6 de septiembre de 2024
el mismo día en el Palacio de la Zarzuela.,El Gabinete queda compuesto de la siguiente manera:,29 de diciembre de 2023,6 de septiembre de 2024
Pedro Sánchez Pérez-Castejón,Presidente del Gobierno,29 de diciembre de 2023,6 de septiembre de 2024
María Jesús Montero Cuadrado,Vicepresidenta primera y ministra de Hacienda,29 de diciembre de 2023,6 de septiembre de 2024
Yolanda Díaz Pérez,Vicepresidenta segunda y ministra de Trabajo y Economía Social,29 de diciembre de 2023,6 de septiembre de 2024
Sara Aagesen Muñoz,Vicepresidenta tercera y ministra para la Transición Ecológica y el Reto Demográfico,29 de diciembre de 2023,6 de septiembre de 2024
Félix Bolaños,"Ministro de la Presidencia, Justicia y Relaciones con las Cortes",29 de diciembre de 2023,6 de septiembre de 2024
Margarita Robles,Ministra de Defensa,29 de diciembre de 2023,6 de septiembre de 2024
Fernando Grande-Marlaska,Ministro del Interior,29 de diciembre de 2023,6 de septiembre de 2024
Óscar Puente,Ministro de Transportes y Movilidad Sostenible,29 de diciembre de 2023,6 de septiembre de 2024
Pilar Alegría,"Ministra de Educación, Formación Profesional y Deportes; y portavoz del Gobierno",29 de diciembre de 2023,6 de septiembre de 2024
Jordi Hereu,Ministro de Industria y Turismo,29 de diciembre de 2023,6 de septiembre de 2024
Luis Planas,"Ministro de Agricultura, Pesca y Alimentación",29 de diciembre de 2023,6 de septiembre de 2024
Ángel Víctor Torres,Ministro de Política Territorial y Memoria Democrática,29 de diciembre de 2023,6 de septiembre de 2024
Isabel Rodríguez,Ministra de Vivienda y Agenda Urbana,29 de diciembre de 2023,6 de septiembre de 2024
Ernest Urtasun,Ministro de Cultura,29 de diciembre de 2023,6 de septiembre de 2024
Carlos Cuerpo Caballero,"Ministro de Economía, Comercio y Empresa",29 de diciembre de 2023,6 de septiembre de 2024
Mónica García,Ministra de Sanidad,29 de diciembre de 2023,6 de septiembre de 2024
Pablo Bustinduy,"Ministro de Derechos Sociales, Consumo y Agenda 2030",29 de diciembre de 2023,6 de septiembre de 2024
Diana Morant,"Ministra de Ciencia, Innovación y Universidades",29 de diciembre de 2023,6 de septiembre de 2024
Ana Redondo,Ministra de Igualdad,29 de diciembre de 2023,6 de septiembre de 2024
Elma Saiz,"Ministra de Inclusión, Seguridad Social y Migraciones",29 de diciembre de 2023,6 de septiembre de 2024
Óscar López,Ministro para la Transformación Digital y de la Función Pública,29 de diciembre de 2023,6 de septiembre de 2024
Sira Rego,Ministra de Juventud e Infancia,29 de diciembre de 2023,6 de septiembre de 2024
Más información,Gobiernos de las diferentes legislaturas,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura Constituyente,Legislatura I,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura II,Legislatura III,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura IV,Legislatura V,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura VI,Legislatura VII,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura VIII,Legislatura IX,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura X,Legislatura XI,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura XII,Legislatura XIII,29 de diciembre de 2023,6 de septiembre de 2024
Legislatura XIV,Legislatura XV,29 de diciembre de 2023,6 de septiembre de 2024
